Category,Law? 0/1,State,Subcategory,Year
Ammunition regulation,0,Alaska,Age restrictions,1991
Ammunition regulation,0,Alaska,Age restrictions,1991
Ammunition regulation,0,Alaska,Background checks,1991
Ammunition regulation,0,Alaska,Licensing,1991
Ammunition regulation,0,Alaska,Permitting,1991
Ammunition regulation,0,Alaska,Prohibitors,1991
Ammunition regulation,0,Alaska,Recordkeeping,1991
Ammunition regulation,0,Alaska,Age restrictions,1992
Ammunition regulation,0,Alaska,Age restrictions,1992
Ammunition regulation,0,Alaska,Background checks,1992
Ammunition regulation,0,Alaska,Licensing,1992
Ammunition regulation,0,Alaska,Permitting,1992
Ammunition regulation,0,Alaska,Prohibitors,1992
Ammunition regulation,0,Alaska,Recordkeeping,1992
Ammunition regulation,0,Alaska,Age restrictions,1993
Ammunition regulation,0,Alaska,Age restrictions,1993
Ammunition regulation,0,Alaska,Background checks,1993
Ammunition regulation,0,Alaska,Licensing,1993
Ammunition regulation,0,Alaska,Permitting,1993
Ammunition regulation,0,Alaska,Prohibitors,1993
Ammunition regulation,0,Alaska,Recordkeeping,1993
Ammunition regulation,0,Alaska,Age restrictions,1994
Ammunition regulation,0,Alaska,Age restrictions,1994
Ammunition regulation,0,Alaska,Background checks,1994
Ammunition regulation,0,Alaska,Licensing,1994
Ammunition regulation,0,Alaska,Permitting,1994
Ammunition regulation,0,Alaska,Prohibitors,1994
Ammunition regulation,0,Alaska,Recordkeeping,1994
Ammunition regulation,0,Alaska,Age restrictions,1995
Ammunition regulation,0,Alaska,Age restrictions,1995
Ammunition regulation,0,Alaska,Background checks,1995
Ammunition regulation,0,Alaska,Licensing,1995
Ammunition regulation,0,Alaska,Permitting,1995
Ammunition regulation,0,Alaska,Prohibitors,1995
Ammunition regulation,0,Alaska,Recordkeeping,1995
Ammunition regulation,0,Alaska,Age restrictions,1996
Ammunition regulation,0,Alaska,Age restrictions,1996
Ammunition regulation,0,Alaska,Background checks,1996
Ammunition regulation,0,Alaska,Licensing,1996
Ammunition regulation,0,Alaska,Permitting,1996
Ammunition regulation,0,Alaska,Prohibitors,1996
Ammunition regulation,0,Alaska,Recordkeeping,1996
Ammunition regulation,0,Alaska,Age restrictions,1997
Ammunition regulation,0,Alaska,Age restrictions,1997
Ammunition regulation,0,Alaska,Background checks,1997
Ammunition regulation,0,Alaska,Licensing,1997
Ammunition regulation,0,Alaska,Permitting,1997
Ammunition regulation,0,Alaska,Prohibitors,1997
Ammunition regulation,0,Alaska,Recordkeeping,1997
Ammunition regulation,0,Alaska,Age restrictions,1998
Ammunition regulation,0,Alaska,Age restrictions,1998
Ammunition regulation,0,Alaska,Background checks,1998
Ammunition regulation,0,Alaska,Licensing,1998
Ammunition regulation,0,Alaska,Permitting,1998
Ammunition regulation,0,Alaska,Prohibitors,1998
Ammunition regulation,0,Alaska,Recordkeeping,1998
Ammunition regulation,0,Alaska,Age restrictions,1999
Ammunition regulation,0,Alaska,Age restrictions,1999
Ammunition regulation,0,Alaska,Background checks,1999
Ammunition regulation,0,Alaska,Licensing,1999
Ammunition regulation,0,Alaska,Permitting,1999
Ammunition regulation,0,Alaska,Prohibitors,1999
Ammunition regulation,0,Alaska,Recordkeeping,1999
Ammunition regulation,0,Alaska,Age restrictions,2000
Ammunition regulation,0,Alaska,Age restrictions,2000
Ammunition regulation,0,Alaska,Background checks,2000
Ammunition regulation,0,Alaska,Licensing,2000
Ammunition regulation,0,Alaska,Permitting,2000
Ammunition regulation,0,Alaska,Prohibitors,2000
Ammunition regulation,0,Alaska,Recordkeeping,2000
Ammunition regulation,0,Alaska,Age restrictions,2001
Ammunition regulation,0,Alaska,Age restrictions,2001
Ammunition regulation,0,Alaska,Background checks,2001
Ammunition regulation,0,Alaska,Licensing,2001
Ammunition regulation,0,Alaska,Permitting,2001
Ammunition regulation,0,Alaska,Prohibitors,2001
Ammunition regulation,0,Alaska,Recordkeeping,2001
Ammunition regulation,0,Alaska,Age restrictions,2002
Ammunition regulation,0,Alaska,Age restrictions,2002
Ammunition regulation,0,Alaska,Background checks,2002
Ammunition regulation,0,Alaska,Licensing,2002
Ammunition regulation,0,Alaska,Permitting,2002
Ammunition regulation,0,Alaska,Prohibitors,2002
Ammunition regulation,0,Alaska,Recordkeeping,2002
Ammunition regulation,0,Alaska,Age restrictions,2003
Ammunition regulation,0,Alaska,Age restrictions,2003
Ammunition regulation,0,Alaska,Background checks,2003
Ammunition regulation,0,Alaska,Licensing,2003
Ammunition regulation,0,Alaska,Permitting,2003
Ammunition regulation,0,Alaska,Prohibitors,2003
Ammunition regulation,0,Alaska,Recordkeeping,2003
Ammunition regulation,0,Alaska,Age restrictions,2004
Ammunition regulation,0,Alaska,Age restrictions,2004
Ammunition regulation,0,Alaska,Background checks,2004
Ammunition regulation,0,Alaska,Licensing,2004
Ammunition regulation,0,Alaska,Permitting,2004
Ammunition regulation,0,Alaska,Prohibitors,2004
Ammunition regulation,0,Alaska,Recordkeeping,2004
Ammunition regulation,0,Alaska,Age restrictions,2005
Ammunition regulation,0,Alaska,Age restrictions,2005
Ammunition regulation,0,Alaska,Background checks,2005
Ammunition regulation,0,Alaska,Licensing,2005
Ammunition regulation,0,Alaska,Permitting,2005
Ammunition regulation,0,Alaska,Prohibitors,2005
Ammunition regulation,0,Alaska,Recordkeeping,2005
Ammunition regulation,0,Alaska,Age restrictions,2006
Ammunition regulation,0,Alaska,Age restrictions,2006
Ammunition regulation,0,Alaska,Background checks,2006
Ammunition regulation,0,Alaska,Licensing,2006
Ammunition regulation,0,Alaska,Permitting,2006
