Category,Law? 0/1,State,Subcategory,Year
Ammunition regulation,0,Hawaii,Age restrictions,1991
Ammunition regulation,0,Hawaii,Age restrictions,1991
Ammunition regulation,0,Hawaii,Background checks,1991
Ammunition regulation,0,Hawaii,Licensing,1991
Ammunition regulation,0,Hawaii,Permitting,1991
Ammunition regulation,1,Hawaii,Prohibitors,1991
Ammunition regulation,0,Hawaii,Recordkeeping,1991
Ammunition regulation,0,Hawaii,Age restrictions,1992
Ammunition regulation,0,Hawaii,Age restrictions,1992
Ammunition regulation,0,Hawaii,Background checks,1992
Ammunition regulation,0,Hawaii,Licensing,1992
Ammunition regulation,0,Hawaii,Permitting,1992
Ammunition regulation,1,Hawaii,Prohibitors,1992
Ammunition regulation,0,Hawaii,Recordkeeping,1992
Ammunition regulation,0,Hawaii,Age restrictions,1993
Ammunition regulation,0,Hawaii,Age restrictions,1993
Ammunition regulation,0,Hawaii,Background checks,1993
Ammunition regulation,0,Hawaii,Licensing,1993
Ammunition regulation,0,Hawaii,Permitting,1993
Ammunition regulation,1,Hawaii,Prohibitors,1993
Ammunition regulation,0,Hawaii,Recordkeeping,1993
Ammunition regulation,0,Hawaii,Age restrictions,1994
Ammunition regulation,0,Hawaii,Age restrictions,1994
Ammunition regulation,0,Hawaii,Background checks,1994
Ammunition regulation,0,Hawaii,Licensing,1994
Ammunition regulation,0,Hawaii,Permitting,1994
Ammunition regulation,1,Hawaii,Prohibitors,1994
Ammunition regulation,0,Hawaii,Recordkeeping,1994
Ammunition regulation,0,Hawaii,Age restrictions,1995
Ammunition regulation,0,Hawaii,Age restrictions,1995
Ammunition regulation,0,Hawaii,Background checks,1995
Ammunition regulation,0,Hawaii,Licensing,1995
Ammunition regulation,0,Hawaii,Permitting,1995
Ammunition regulation,1,Hawaii,Prohibitors,1995
Ammunition regulation,0,Hawaii,Recordkeeping,1995
Ammunition regulation,0,Hawaii,Age restrictions,1996
Ammunition regulation,0,Hawaii,Age restrictions,1996
Ammunition regulation,0,Hawaii,Background checks,1996
